Customer_ID,Age,Gender,Shopping_Experience,Product_Quality,Delivery_Speed,Customer_Service,Return_Experience,Recommendation,Comments
Cust_27,58.0,Female,2.0,2.0,2.0,3.0,Yes,Yes,Comment_27
Cust_28,22.0,Female,5.0,3.0,4.0,1.0,No,Yes,Comment_28
Cust_29,33.0,Male,2.0,3.0,5.0,5.0,No,No,Comment_29
Cust_30,51.0,Male,2.0,5.0,4.0,2.0,No,No,Comment_30
Cust_31,31.0,Male,1.0,3.0,3.0,5.0,Yes,Yes,Comment_31
Cust_32,51.0,Female,4.0,5.0,2.0,1.0,Yes,No,Comment_32
Cust_33,33.0,Female,1.0,2.0,,4.0,Yes,No,Comment_33
Cust_34,63.0,Male,2.0,2.0,4.0,5.0,Yes,Yes,Comment_34
Cust_35,31.0,Female,1.0,5.0,2.0,2.0,No,No,Comment_35
Cust_36,47.0,Male,3.0,4.0,1.0,3.0,Yes,No,Comment_36
Cust_37,61.0,Female,5.0,2.0,4.0,5.0,No,No,Comment_37
Cust_38,43.0,Male,1.0,5.0,,3.0,Yes,Yes,Comment_38
Cust_39,54.0,Male,5.0,5.0,3.0,4.0,Yes,Yes,Comment_39
Cust_40,22.0,Male,1.0,5.0,3.0,3.0,Yes,No,
Cust_41,41.0,Male,3.0,,5.0,2.0,Yes,No,Comment_41
Cust_42,36.0,Male,3.0,1.0,3.0,1.0,No,Yes,Comment_42
Cust_43,62.0,Male,2.0,5.0,1.0,4.0,No,Yes,
Cust_44,29.0,Male,3.0,5.0,4.0,2.0,No,,Comment_44
Cust_45,39.0,Female,4.0,3.0,5.0,1.0,Yes,No,
Cust_46,58.0,Male,,3.0,3.0,4.0,No,No,Comment_46
Cust_47,41.0,Female,3.0,4.0,4.0,1.0,Yes,Yes,Comment_47
Cust_48,30.0,Female,1.0,5.0,4.0,4.0,No,No,Comment_48
Cust_49,43.0,Female,,2.0,3.0,2.0,No,No,Comment_49
Cust_50,29.0,Male,1.0,4.0,5.0,4.0,No,No,Comment_50
Cust_51,27.0,Female,1.0,4.0,4.0,2.0,No,,Comment_51
Cust_52,27.0,Male,5.0,3.0,4.0,1.0,Yes,No,Comment_52
Cust_53,56.0,Male,1.0,5.0,5.0,3.0,Yes,Yes,Comment_53
Cust_54,22.0,Male,1.0,2.0,3.0,2.0,Yes,No,Comment_54
Cust_55,28.0,Female,5.0,5.0,1.0,5.0,No,No,Comment_55
Cust_56,64.0,Male,2.0,4.0,3.0,2.0,No,No,Comment_56
Cust_57,45.0,Male,1.0,1.0,4.0,5.0,Yes,Yes,Comment_57
Cust_58,55.0,Female,5.0,1.0,1.0,1.0,Yes,No,Comment_58
Cust_59,48.0,Female,4.0,1.0,5.0,4.0,Yes,No,Comment_59
Cust_60,38.0,,4.0,5.0,1.0,,Yes,Yes,Comment_60
Cust_61,20.0,Male,3.0,4.0,5.0,5.0,Yes,Yes,Comment_61
Cust_62,41.0,Female,5.0,,5.0,3.0,No,No,Comment_62
Cust_63,42.0,Male,2.0,5.0,5.0,3.0,Yes,Yes,Comment_63
Cust_64,63.0,Female,5.0,3.0,2.0,5.0,Yes,Yes,Comment_64
Cust_65,36.0,Female,3.0,,2.0,2.0,No,Yes,Comment_65
Cust_66,22.0,Male,1.0,5.0,1.0,,No,,
Cust_67,59.0,Male,2.0,2.0,,1.0,Yes,No,Comment_67
Cust_68,25.0,Male,2.0,2.0,1.0,5.0,Yes,,Comment_68
Cust_69,26.0,Male,1.0,1.0,4.0,3.0,No,Yes,Comment_69
Cust_70,42.0,Female,2.0,3.0,4.0,2.0,,No,Comment_70
Cust_71,45.0,Male,1.0,,1.0,2.0,Yes,No,Comment_71
Cust_72,52.0,Male,4.0,3.0,5.0,5.0,No,No,
Cust_73,34.0,Male,2.0,2.0,1.0,5.0,No,Yes,Comment_73
Cust_74,31.0,Female,5.0,2.0,2.0,2.0,No,No,Comment_74
Cust_75,31.0,Female,,3.0,4.0,2.0,No,Yes,
Cust_76,59.0,,4.0,1.0,1.0,4.0,Yes,No,Comment_76
Cust_77,44.0,Female,4.0,2.0,4.0,2.0,,No,Comment_77
Cust_78,37.0,Female,4.0,3.0,1.0,3.0,,No,Comment_78
Cust_79,22.0,Male,3.0,5.0,3.0,1.0,No,Yes,Comment_79
Cust_80,57.0,Male,4.0,4.0,5.0,,Yes,Yes,Comment_80
Cust_81,,Female,3.0,3.0,3.0,,Yes,No,Comment_81
Cust_82,24.0,Female,,4.0,2.0,5.0,Yes,Yes,Comment_82
Cust_83,56.0,,4.0,5.0,3.0,2.0,No,Yes,Comment_83
Cust_84,18.0,Female,1.0,3.0,3.0,,No,No,Comment_84
Cust_85,53.0,Male,2.0,2.0,2.0,,,Yes,Comment_85
Cust_86,25.0,Female,3.0,1.0,2.0,2.0,Yes,Yes,Comment_86
Cust_87,33.0,Female,5.0,3.0,5.0,1.0,No,Yes,Comment_87
Cust_88,64.0,,5.0,3.0,3.0,3.0,Yes,Yes,Comment_88
Cust_89,,,3.0,3.0,1.0,,,Yes,Comment_89
Cust_90,62.0,Male,3.0,3.0,2.0,,No,No,Comment_90
Cust_91,52.0,Male,2.0,4.0,5.0,1.0,Yes,,Comment_91
Cust_92,20.0,Male,2.0,2.0,5.0,5.0,No,No,Comment_92
Cust_93,58.0,Male,2.0,1.0,4.0,4.0,No,No,Comment_93
Cust_94,,Male,1.0,1.0,1.0,4.0,No,Yes,Comment_94
Cust_95,24.0,Female,5.0,4.0,1.0,4.0,No,No,
Cust_96,,Male,3.0,4.0,4.0,1.0,No,No,Comment_96
Cust_97,37.0,Male,3.0,,2.0,5.0,No,No,Comment_97
Cust_98,60.0,Female,4.0,3.0,1.0,4.0,Yes,No,Comment_98
Cust_99,59.0,Female,2.0,1.0,5.0,5.0,No,Yes,Comment_99
Cust_100,52.0,Female,,1.0,1.0,2.0,No,Yes,Comment_100
Cust_101,44.0,Female,5.0,5.0,5.0,3.0,Yes,Yes,
Cust_102,53.0,,1.0,3.0,1.0,3.0,Yes,,
Cust_103,40.0,Male,4.0,4.0,1.0,1.0,,,Comment_103
Cust_104,37.0,,4.0,,5.0,1.0,Yes,No,
Cust_105,50.0,Female,4.0,5.0,4.0,1.0,Yes,Yes,Comment_105
Cust_106,63.0,Male,4.0,2.0,5.0,3.0,No,,Comment_106
Cust_107,21.0,Female,3.0,5.0,2.0,4.0,No,Yes,
Cust_108,,Female,2.0,1.0,5.0,3.0,Yes,No,Comment_108
Cust_109,39.0,Male,5.0,,1.0,5.0,No,No,Comment_109
Cust_110,45.0,Male,3.0,3.0,5.0,4.0,Yes,Yes,Comment_110
Cust_111,56.0,Male,4.0,2.0,2.0,4.0,No,Yes,Comment_111
Cust_112,41.0,Female,3.0,5.0,4.0,2.0,No,No,Comment_112
Cust_113,60.0,Male,4.0,5.0,4.0,4.0,No,Yes,Comment_113
Cust_114,34.0,Male,2.0,4.0,1.0,5.0,Yes,No,Comment_114
Cust_115,47.0,Male,3.0,1.0,2.0,2.0,,No,Comment_115
Cust_116,24.0,Male,3.0,,2.0,,No,No,
Cust_117,45.0,Female,4.0,4.0,,3.0,No,,Comment_117
Cust_118,51.0,Female,4.0,2.0,4.0,,No,Yes,Comment_118
Cust_119,20.0,Female,2.0,1.0,4.0,5.0,No,Yes,
Cust_120,19.0,Male,3.0,3.0,1.0,5.0,No,Yes,Comment_120
Cust_121,34.0,Female,,3.0,3.0,5.0,Yes,Yes,Comment_121
Cust_122,62.0,Male,4.0,4.0,1.0,1.0,Yes,No,Comment_122
Cust_123,26.0,Female,4.0,1.0,,1.0,Yes,Yes,Comment_123
Cust_124,41.0,,5.0,2.0,4.0,5.0,Yes,Yes,Comment_124
Cust_125,33.0,Female,5.0,1.0,4.0,,Yes,No,Comment_125
Cust_126,23.0,Male,3.0,3.0,4.0,3.0,No,Yes,Comment_126
Cust_127,35.0,Female,2.0,4.0,2.0,1.0,Yes,Yes,Comment_127
Cust_128,58.0,,4.0,4.0,2.0,2.0,No,No,Comment_128
Cust_129,31.0,Male,1.0,1.0,3.0,1.0,Yes,Yes,Comment_129
Cust_130,48.0,,1.0,,1.0,2.0,Yes,No,Comment_130
Cust_131,42.0,Male,1.0,5.0,2.0,5.0,No,Yes,Comment_131
Cust_132,,Male,1.0,2.0,1.0,1.0,Yes,No,Comment_132
Cust_133,54.0,Female,5.0,3.0,3.0,,Yes,,Comment_133
Cust_134,35.0,Female,3.0,3.0,2.0,2.0,Yes,No,Comment_134
Cust_135,20.0,Female,1.0,3.0,3.0,1.0,No,Yes,Comment_135
Cust_136,55.0,Female,2.0,4.0,5.0,3.0,No,Yes,Comment_136
Cust_137,49.0,Female,2.0,1.0,,2.0,Yes,No,
Cust_138,26.0,Male,1.0,1.0,2.0,,No,No,Comment_138
Cust_139,50.0,Female,1.0,,5.0,4.0,No,No,Comment_139
Cust_140,37.0,,1.0,3.0,5.0,5.0,Yes,No,
Cust_141,65.0,,3.0,1.0,4.0,,No,Yes,Comment_141
Cust_142,41.0,Female,4.0,,4.0,,No,Yes,Comment_142
Cust_143,26.0,Female,4.0,2.0,5.0,1.0,,Yes,Comment_143
Cust_144,47.0,Male,2.0,3.0,2.0,1.0,Yes,No,Comment_144
Cust_145,50.0,Male,3.0,,4.0,3.0,,Yes,Comment_145
Cust_146,35.0,Female,2.0,4.0,2.0,4.0,No,No,Comment_146
Cust_147,43.0,Female,3.0,2.0,1.0,2.0,No,Yes,
Cust_148,25.0,Male,1.0,1.0,5.0,4.0,Yes,No,Comment_148
Cust_149,28.0,Male,4.0,3.0,4.0,5.0,Yes,No,Comment_149
Cust_150,26.0,Female,1.0,,3.0,5.0,,No,
Cust_151,53.0,Male,1.0,4.0,2.0,3.0,,Yes,Comment_151
Cust_152,47.0,Male,3.0,1.0,4.0,1.0,Yes,Yes,
Cust_153,34.0,Male,,2.0,5.0,4.0,No,No,
Cust_154,24.0,Female,3.0,1.0,5.0,3.0,Yes,,Comment_154
Cust_155,50.0,Female,1.0,4.0,2.0,4.0,No,No,Comment_155
Cust_156,39.0,Male,1.0,,1.0,3.0,,No,Comment_156
Cust_157,23.0,Female,2.0,2.0,4.0,5.0,No,Yes,
Cust_158,34.0,Female,3.0,1.0,1.0,3.0,Yes,Yes,Comment_158
Cust_159,44.0,Female,,3.0,3.0,5.0,,No,Comment_159
Cust_160,62.0,,3.0,1.0,3.0,2.0,No,Yes,
Cust_161,59.0,Male,2.0,1.0,5.0,1.0,No,Yes,Comment_161
Cust_162,37.0,Female,5.0,2.0,3.0,5.0,No,No,Comment_162
Cust_163,44.0,,5.0,4.0,1.0,1.0,Yes,Yes,Comment_163
Cust_164,20.0,Female,5.0,1.0,1.0,4.0,Yes,No,Comment_164
Cust_165,40.0,Male,4.0,3.0,1.0,3.0,Yes,Yes,
Cust_166,46.0,Female,5.0,4.0,4.0,1.0,No,Yes,Comment_166
Cust_167,37.0,Female,2.0,4.0,3.0,1.0,Yes,Yes,Comment_167
Cust_168,61.0,Male,4.0,5.0,3.0,3.0,No,No,
Cust_169,31.0,Female,5.0,3.0,4.0,2.0,Yes,No,Comment_169
Cust_170,,,3.0,,4.0,5.0,No,No,Comment_170
Cust_171,62.0,Male,3.0,,1.0,1.0,Yes,Yes,Comment_171
Cust_172,47.0,Female,,2.0,3.0,5.0,Yes,Yes,Comment_172
Cust_173,19.0,Female,1.0,3.0,5.0,4.0,,Yes,
Cust_174,39.0,Female,4.0,1.0,,3.0,No,Yes,Comment_174
Cust_175,28.0,Female,2.0,5.0,3.0,4.0,No,No,Comment_175
Cust_176,49.0,Male,3.0,3.0,4.0,5.0,No,Yes,Comment_176
Cust_177,34.0,Female,5.0,2.0,5.0,2.0,No,Yes,Comment_177
Cust_178,43.0,Male,2.0,2.0,1.0,3.0,Yes,Yes,Comment_178
Cust_179,65.0,Male,5.0,1.0,,4.0,No,Yes,Comment_179
Cust_180,21.0,Male,4.0,2.0,3.0,1.0,No,Yes,Comment_180
Cust_181,48.0,Female,4.0,1.0,3.0,2.0,No,No,Comment_181
Cust_182,48.0,Female,5.0,4.0,1.0,5.0,Yes,Yes,
Cust_183,62.0,Female,2.0,4.0,3.0,5.0,No,Yes,Comment_183
Cust_184,27.0,Female,5.0,4.0,3.0,4.0,Yes,No,Comment_184
Cust_185,33.0,Female,4.0,1.0,5.0,3.0,No,Yes,
Cust_186,49.0,Male,5.0,5.0,2.0,4.0,Yes,Yes,Comment_186
Cust_187,47.0,Male,5.0,2.0,1.0,5.0,No,Yes,Comment_187
Cust_188,42.0,Female,3.0,3.0,5.0,1.0,No,No,Comment_188
Cust_189,26.0,Male,4.0,2.0,2.0,2.0,Yes,No,Comment_189
Cust_190,35.0,Male,1.0,4.0,4.0,5.0,No,Yes,
Cust_191,26.0,Female,1.0,2.0,4.0,3.0,Yes,No,
Cust_192,37.0,Female,1.0,5.0,2.0,,Yes,No,Comment_192
Cust_193,56.0,Male,3.0,3.0,2.0,1.0,,Yes,Comment_193
Cust_194,33.0,Female,2.0,3.0,3.0,3.0,Yes,,Comment_194
Cust_195,30.0,Female,4.0,2.0,2.0,5.0,No,Yes,Comment_195
Cust_196,18.0,Male,4.0,3.0,3.0,2.0,No,No,
Cust_197,24.0,Female,,1.0,5.0,2.0,,,Comment_197
Cust_198,50.0,Male,1.0,,1.0,2.0,,No,Comment_198
Cust_199,33.0,Female,5.0,2.0,5.0,1.0,No,Yes,Comment_199
Cust_200,39.0,Male,2.0,5.0,4.0,3.0,Yes,No,
Cust_201,19.0,,3.0,3.0,4.0,2.0,No,No,
Cust_202,38.0,Male,5.0,5.0,5.0,3.0,No,No,Comment_202
Cust_203,62.0,Female,4.0,3.0,5.0,5.0,No,Yes,Comment_203
Cust_204,61.0,Male,4.0,3.0,3.0,2.0,Yes,No,Comment_204
Cust_205,41.0,Male,2.0,5.0,1.0,1.0,Yes,Yes,Comment_205
Cust_206,32.0,Male,,1.0,2.0,,No,Yes,Comment_206
Cust_207,53.0,Male,1.0,5.0,2.0,2.0,No,No,Comment_207
Cust_208,50.0,Male,2.0,1.0,2.0,5.0,No,Yes,Comment_208
Cust_209,51.0,Female,5.0,4.0,2.0,4.0,No,No,Comment_209
Cust_210,52.0,Female,2.0,5.0,1.0,4.0,Yes,Yes,Comment_210
Cust_211,21.0,Female,2.0,4.0,1.0,1.0,Yes,Yes,Comment_211
Cust_212,54.0,Female,4.0,2.0,2.0,1.0,No,Yes,Comment_212
Cust_213,,Male,4.0,3.0,1.0,,No,Yes,Comment_213
Cust_214,27.0,Female,2.0,3.0,5.0,3.0,Yes,Yes,Comment_214
Cust_215,58.0,Male,3.0,4.0,3.0,2.0,No,Yes,Comment_215
Cust_216,28.0,Male,2.0,1.0,5.0,2.0,No,No,Comment_216
Cust_217,61.0,Male,4.0,4.0,1.0,3.0,Yes,Yes,Comment_217
Cust_218,37.0,Male,1.0,2.0,2.0,1.0,Yes,Yes,Comment_218
Cust_219,59.0,Male,1.0,4.0,2.0,3.0,Yes,No,Comment_219
Cust_220,51.0,Male,4.0,5.0,5.0,1.0,,Yes,Comment_220
Cust_221,20.0,Female,5.0,2.0,4.0,3.0,No,No,Comment_221
Cust_222,44.0,Male,5.0,,1.0,,Yes,Yes,Comment_222
Cust_223,,Male,4.0,2.0,3.0,3.0,Yes,No,Comment_223
Cust_224,22.0,Male,,5.0,1.0,5.0,Yes,No,Comment_224
Cust_225,62.0,,2.0,1.0,5.0,3.0,No,No,Comment_225
Cust_226,63.0,Female,3.0,1.0,4.0,,No,No,Comment_226
Cust_227,56.0,Female,3.0,2.0,5.0,3.0,Yes,No,Comment_227
Cust_228,29.0,Female,4.0,5.0,3.0,3.0,Yes,Yes,Comment_228
Cust_229,51.0,Male,2.0,5.0,4.0,4.0,,No,Comment_229
Cust_230,30.0,Male,2.0,,3.0,3.0,Yes,No,Comment_230
Cust_231,53.0,Female,5.0,2.0,2.0,3.0,,No,Comment_231
Cust_232,24.0,Female,3.0,1.0,2.0,1.0,No,No,Comment_232
Cust_233,30.0,Male,1.0,5.0,2.0,3.0,No,Yes,Comment_233
Cust_234,64.0,Male,4.0,4.0,3.0,5.0,Yes,,Comment_234
Cust_235,62.0,Male,2.0,5.0,5.0,1.0,No,Yes,Comment_235
Cust_236,55.0,Female,,2.0,1.0,4.0,Yes,Yes,Comment_236
Cust_237,50.0,Male,5.0,1.0,,5.0,No,No,Comment_237
Cust_238,42.0,Female,4.0,,3.0,5.0,Yes,,Comment_238
Cust_239,34.0,Male,3.0,3.0,1.0,4.0,Yes,No,
Cust_240,,Male,3.0,2.0,3.0,2.0,No,Yes,Comment_240
Cust_241,60.0,Male,3.0,2.0,5.0,2.0,No,No,
Cust_242,19.0,Female,3.0,1.0,1.0,2.0,No,Yes,Comment_242
Cust_243,33.0,Female,5.0,2.0,5.0,5.0,No,No,Comment_243
Cust_244,39.0,Male,1.0,5.0,1.0,1.0,Yes,,Comment_244
Cust_245,24.0,Female,4.0,3.0,4.0,4.0,No,Yes,Comment_245
Cust_246,18.0,Female,4.0,4.0,2.0,,No,Yes,Comment_246
Cust_247,64.0,Male,,2.0,1.0,1.0,Yes,Yes,Comment_247
Cust_248,37.0,,2.0,2.0,4.0,2.0,No,Yes,Comment_248
Cust_249,,Female,,3.0,2.0,3.0,No,No,Comment_249
Cust_250,20.0,Male,4.0,4.0,2.0,3.0,Yes,Yes,Comment_250
Cust_251,22.0,,,4.0,1.0,1.0,Yes,Yes,Comment_251
Cust_252,35.0,,5.0,1.0,3.0,4.0,,No,Comment_252
Cust_253,41.0,Female,3.0,1.0,2.0,5.0,No,Yes,Comment_253
Cust_254,45.0,Female,4.0,3.0,2.0,2.0,,Yes,
Cust_255,47.0,Female,2.0,2.0,1.0,2.0,Yes,Yes,Comment_255
Cust_256,44.0,Female,3.0,3.0,5.0,2.0,No,Yes,Comment_256
Cust_257,29.0,Female,1.0,5.0,1.0,3.0,Yes,No,Comment_257
Cust_258,52.0,Male,1.0,1.0,4.0,3.0,Yes,No,Comment_258
Cust_259,44.0,Male,5.0,1.0,3.0,1.0,Yes,Yes,Comment_259
Cust_260,22.0,Female,3.0,5.0,4.0,4.0,No,Yes,Comment_260
Cust_261,31.0,Male,4.0,3.0,3.0,3.0,No,No,
Cust_262,50.0,Male,5.0,2.0,3.0,3.0,No,Yes,Comment_262
Cust_263,30.0,Female,5.0,4.0,3.0,5.0,No,Yes,Comment_263
Cust_264,53.0,Female,2.0,,1.0,2.0,Yes,No,Comment_264
Cust_265,22.0,Female,3.0,5.0,3.0,4.0,Yes,No,Comment_265
Cust_266,27.0,Male,3.0,2.0,3.0,4.0,Yes,No,Comment_266
Cust_267,64.0,Female,5.0,5.0,2.0,5.0,No,No,Comment_267
Cust_268,,Male,,5.0,2.0,2.0,No,Yes,Comment_268
Cust_269,44.0,Male,3.0,,2.0,,Yes,No,Comment_269
Cust_270,51.0,Male,4.0,2.0,2.0,3.0,No,No,Comment_270
Cust_271,28.0,Female,5.0,4.0,4.0,2.0,No,Yes,Comment_271
Cust_272,42.0,Female,3.0,2.0,2.0,4.0,Yes,No,Comment_272
Cust_273,33.0,Female,4.0,5.0,3.0,3.0,No,Yes,Comment_273
Cust_274,54.0,Male,4.0,,,5.0,,No,Comment_274
Cust_275,46.0,Female,1.0,4.0,1.0,2.0,No,No,Comment_275
Cust_276,55.0,Female,5.0,,1.0,5.0,No,No,Comment_276
Cust_277,37.0,Male,4.0,1.0,5.0,4.0,Yes,No,Comment_277
Cust_278,60.0,Male,5.0,2.0,3.0,2.0,No,Yes,Comment_278
Cust_279,49.0,Male,2.0,2.0,4.0,4.0,,Yes,Comment_279
Cust_280,59.0,Male,4.0,1.0,1.0,2.0,Yes,No,Comment_280
Cust_281,18.0,Female,5.0,2.0,4.0,1.0,Yes,Yes,
Cust_282,28.0,Female,1.0,,5.0,4.0,No,Yes,
Cust_283,25.0,Male,,5.0,5.0,1.0,Yes,No,Comment_283
Cust_284,61.0,Male,1.0,,3.0,4.0,No,No,Comment_284
Cust_285,53.0,Female,1.0,4.0,3.0,2.0,No,Yes,Comment_285
Cust_286,27.0,Female,3.0,1.0,4.0,,No,Yes,Comment_286
Cust_287,34.0,Male,2.0,3.0,,1.0,No,No,Comment_287
Cust_288,25.0,Female,4.0,5.0,4.0,4.0,Yes,Yes,Comment_288
Cust_289,22.0,Male,,5.0,5.0,1.0,No,Yes,Comment_289
Cust_290,29.0,Male,3.0,,2.0,3.0,No,Yes,Comment_290
Cust_291,35.0,,2.0,5.0,3.0,4.0,Yes,No,Comment_291
Cust_292,31.0,Female,3.0,2.0,1.0,3.0,No,No,Comment_292
Cust_293,54.0,Male,2.0,3.0,2.0,5.0,Yes,No,Comment_293
Cust_294,41.0,Male,5.0,3.0,3.0,2.0,No,No,
Cust_295,20.0,Male,3.0,3.0,3.0,4.0,Yes,,Comment_295
Cust_296,41.0,Male,4.0,2.0,5.0,3.0,No,No,Comment_296
Cust_297,56.0,Female,1.0,2.0,1.0,5.0,No,No,Comment_297
Cust_298,39.0,Male,1.0,3.0,,3.0,Yes,Yes,Comment_298
Cust_299,34.0,Female,3.0,3.0,5.0,4.0,No,No,Comment_299
Cust_300,46.0,Male,4.0,5.0,1.0,2.0,No,Yes,
Cust_301,24.0,Male,1.0,2.0,2.0,5.0,No,Yes,
Cust_302,51.0,Male,2.0,4.0,4.0,5.0,Yes,No,Comment_302
Cust_303,49.0,Female,1.0,1.0,5.0,4.0,No,No,Comment_303
Cust_304,47.0,Female,1.0,3.0,1.0,1.0,,No,Comment_304
Cust_305,62.0,Female,5.0,4.0,3.0,1.0,Yes,No,Comment_305
Cust_306,26.0,Male,2.0,4.0,4.0,3.0,,Yes,Comment_306
Cust_307,28.0,Female,,1.0,3.0,2.0,No,No,Comment_307
Cust_308,59.0,Male,4.0,5.0,2.0,1.0,Yes,No,Comment_308
Cust_309,50.0,Male,3.0,,4.0,3.0,No,No,Comment_309
Cust_310,43.0,Female,4.0,2.0,2.0,2.0,,No,Comment_310
Cust_311,58.0,Male,2.0,1.0,3.0,1.0,Yes,No,Comment_311
Cust_312,38.0,Female,1.0,,3.0,5.0,No,Yes,Comment_312
Cust_313,27.0,,4.0,1.0,4.0,5.0,Yes,No,
Cust_314,22.0,,5.0,5.0,2.0,5.0,No,No,
Cust_315,61.0,Male,2.0,3.0,3.0,1.0,No,No,Comment_315
Cust_316,,Male,2.0,4.0,1.0,4.0,Yes,No,
Cust_317,49.0,Female,5.0,1.0,5.0,3.0,Yes,Yes,Comment_317
Cust_318,21.0,Female,2.0,5.0,2.0,5.0,No,No,
Cust_319,,Female,2.0,4.0,2.0,1.0,Yes,Yes,Comment_319
Cust_320,34.0,Female,2.0,5.0,4.0,4.0,Yes,Yes,Comment_320
Cust_321,30.0,Female,1.0,,1.0,4.0,No,No,Comment_321
Cust_322,,Female,5.0,5.0,5.0,,,Yes,Comment_322
Cust_323,20.0,,1.0,2.0,5.0,1.0,Yes,Yes,Comment_323
Cust_324,21.0,Male,,2.0,3.0,1.0,No,No,Comment_324
Cust_325,23.0,Female,5.0,2.0,3.0,3.0,Yes,No,Comment_325
Cust_326,51.0,Male,2.0,,4.0,,No,,Comment_326
Cust_327,59.0,Male,2.0,2.0,3.0,5.0,,Yes,Comment_327
Cust_328,24.0,,2.0,2.0,5.0,5.0,Yes,,Comment_328
Cust_329,26.0,Female,5.0,1.0,3.0,2.0,Yes,No,Comment_329
Cust_330,40.0,Male,5.0,2.0,2.0,5.0,No,Yes,Comment_330
Cust_331,,Male,2.0,1.0,,2.0,No,No,Comment_331
Cust_332,19.0,Male,1.0,2.0,1.0,3.0,Yes,No,
Cust_333,65.0,Male,4.0,5.0,1.0,1.0,Yes,No,Comment_333
Cust_334,19.0,Female,4.0,5.0,2.0,2.0,Yes,No,Comment_334
Cust_335,37.0,Female,4.0,1.0,4.0,,Yes,No,Comment_335
Cust_336,44.0,Female,2.0,1.0,2.0,1.0,Yes,Yes,Comment_336
Cust_337,28.0,Male,4.0,3.0,2.0,1.0,No,No,Comment_337
Cust_338,61.0,Male,3.0,2.0,1.0,,No,Yes,Comment_338
Cust_339,28.0,Female,4.0,1.0,2.0,2.0,No,No,Comment_339
Cust_340,37.0,Male,2.0,3.0,1.0,2.0,Yes,Yes,Comment_340
Cust_341,22.0,Male,1.0,5.0,1.0,3.0,No,Yes,Comment_341
Cust_342,40.0,Male,4.0,5.0,5.0,4.0,Yes,Yes,Comment_342
Cust_343,43.0,Male,4.0,2.0,1.0,2.0,No,,Comment_343
Cust_344,19.0,Female,2.0,2.0,,2.0,Yes,No,Comment_344
Cust_345,40.0,Female,5.0,2.0,5.0,1.0,No,Yes,
Cust_346,50.0,Female,,5.0,4.0,,No,Yes,Comment_346
Cust_347,24.0,Female,3.0,3.0,5.0,1.0,No,Yes,Comment_347
Cust_348,40.0,Male,1.0,1.0,5.0,,No,Yes,
Cust_349,23.0,Male,3.0,3.0,,5.0,Yes,No,Comment_349
Cust_350,64.0,Male,1.0,,4.0,4.0,Yes,Yes,Comment_350
Cust_351,32.0,Male,3.0,3.0,1.0,3.0,Yes,No,Comment_351
Cust_352,44.0,Male,5.0,5.0,2.0,4.0,No,No,Comment_352
Cust_353,47.0,Female,3.0,5.0,4.0,2.0,Yes,Yes,Comment_353
Cust_354,23.0,Female,4.0,3.0,1.0,3.0,Yes,No,Comment_354
Cust_355,63.0,Male,4.0,5.0,,1.0,Yes,No,
Cust_356,64.0,Female,3.0,2.0,3.0,4.0,Yes,Yes,Comment_356
Cust_357,50.0,Male,4.0,4.0,1.0,4.0,No,Yes,Comment_357
